MAP2K4	P45985
FLNC	Q14315
MYPN	Q86TC9
ACTN2	P35609
ACVR1	Q04771
FNTA	P49354
GATA2	P23769
PML	P29590
RPA2	P15927
STAT3	P40763
ARF1	P84077
GGA3	Q9NZ52
ARF3	P61204
ARFIP2	P53365
ARFIP1	P53367
XRN1	Q8IZH2
ALDOA	P04075
APP	P05067
APPBP2	Q92624
APLP1	P51693
DAB1	O75553
CITED2	Q99967
TFAP2A	P05549
EP300	Q09472
APOB	P04114
MTTP	P55157
ARRB2	P32121
RALGDS	Q12967
CSF1R	P07333
GRB2	P62993
PRRC2A	P48634
LSM1	O15116
NARS	O43776
SLC4A1	P02730
SLC4A1AP	Q9BWU0
BCL3	P20749
BARD1	Q99728
ADRB1	P08588
GIPC1	O14908
BRCA1	P38398
ATF1	P18846
MSH2	P43246
MSH6	P52701
ARVCF	O00192
CDH15	P55291
PCBD1	P61457
CACNA1C	Q13936
PSEN2	P49810
CAPN1	P07384
CAPN3	P20807
TTN	Q8WZ42
ITPR1	Q14643
CA8	P35219
MAGI1	Q96QZ7
CTNNB1	P35222
RB1	P06400
CUX1	P39880
CUX1	Q13948
TSG101	Q99816
CDKN1A	P38936
ORC1	Q13415
MCM2	P49736
ORC4	O43929
MCM5	P33992
CDC7	O00311
ORC2	Q13416
DBF4	Q9UBU7
AKAP8	O43823
RPA1	P27694
RPA3	P35244
ORC5	O43913
MCM3	P25205
YWHAZ	P63104
CDC25A	P30304
DOCK8	Q8NF50
CDC42	P60953
TRIP10	Q15642
CDKN3	Q16667
CDK2	P24941
RBBP8	Q99708
RBL1	P28749
HAND2	P61296
CENPB	P07199
CLTC	Q00610
HGS	O14964
IGFBP3	P17936
COL1A1	P02452
TXN	P10599
ATF2	P15336
SMAD3	P84022
SMAD4	Q13485
CCND3	P30281
EIF3K	Q9UBQ5
RALBP1	Q15311
CCNB1	P14635
PPIB	P23284
CAMLG	P49069
CSRP1	P21291
CSK	P41240
INSR	P06213
IGF1R	P08069
EGFR	P00533
SIM2	Q14190
ARNT	P27540
SIM1	P81133
NPAS4	Q8IUM7
HBEGF	Q99075
ZBTB16	Q05516
PCNA	P12004
GADD45A	P24522
TOPBP1	Q92547
TOP2B	Q02880
FLNA	P21333
DRD3	P35462
LSM3	P62310
SNRPE	P62304
LSM4	Q9Y4Z0
LSM5	Q9Y4Y9
EGR1	P18146
CREBBP	Q92793
NUMA1	Q14980
EPB41	P11171
EXOSC4	Q9NPD3
EEF1A1	P68104
PLCG1	P19174
KTN1	Q86UP2
EEF1D	P29692
KDR	P35968
ANXA5	P08758
PPARGC1B	Q86YN6
ESR1	P03372
SMARCA4	P51532
DDX54	Q8TDD1
DNTTIP2	Q5QJE6
FGFR1	P11362
FDPS	P14324
TGFB1	P01137
SUMO1	P63165
FAS	P25445
MPP6	Q9NZW5
FTL	P02792
FGA	P02671
ITGB1	P05556
FRS3	O43559
GABRG2	P18507
GABARAP	O95166
SFN	P31947
NR3C1	P04150
TGFB1I1	O43294
ECD	O95905
GCK	P35557
PFKFB2	O60825
HSPA5	P11021
DPH1	Q9BZG8
SLC2A2	P11168
KPNA2	P52292
SLC2A4	P14672
DAXX	Q9UER7
GRIK2	Q13002
SDCBP	O00560
PICK1	Q9NRD5
GRIK1	P39086
CCNT1	O60563
GRN	P28799
RGS19	P49795
GNAZ	P19086
GNAO1	P09471
GNAI2	P04899
GNAI3	P08754
HSF2	Q03933
UBE2I	P63279
LIMK1	P53667
NRG1	Q02297
FGF7	P21781
HSPG2	P98160
MAD2L2	Q9UI95
P4HA2	O15460
CCR10	P46092
C1QBP	Q07021
EIF3E	P60228
GANAB	Q14697
HNRNPA1	P09651
PSMA3	P25788
HNRNPM	P52272
MAN2C1	Q9NTJ4
SSR3	Q9UNL2
DDX20	Q9UHI6
UBAP2L	Q14157
IMMT	Q16891
CPSF1	Q10570
PRMT2	P55345
QARS	P47897
IFT88	Q13099
BAG6	P46379
HTT	P42858
SETD2	Q9BYW2
HAP1	P54257
ZDHHC17	Q8IUH5
HYPK	Q9NX55
MEF2D	Q14814
YWHAQ	P27348
ID3	Q02535
IRS1	P35568
YWHAE	P62258
SOCS1	O15524
PTK2	Q05397
MAPK8	P45983
IL1A	P01583
NDN	Q99608
JAK2	O60674
PRMT5	O14744
BYSL	Q13895
KRT8	P05787
KRT18	P05783
CBL	P22681
DNAJB6	O75190
LMNA	P02545
LMNB1	P20700
SREBF1	P36956
NARF	Q9UHQ1
BCR	P11274
BNIPL	Q7Z465
BCL2	P10415
BNIP2	Q12982
SMN1	Q16637
TP53BP2	Q13625
RTN4	Q9NQC3
BECN1	Q14457
NFKB1	P19838
LYL1	P12980
SKAP1	Q86WV1
PTPRC	P08575
ALOX5	P09917
COTL1	Q14019
VAV1	P15498
XRCC6	P12956
NCF4	Q15080
XRCC5	P13010
MRE11A	P49959
CBX5	P45973
PIAS4	Q8N2W9
LEF1	Q9UJU2
MITF	O75030
DHDDS	Q86SQ9
LOX	P28300
YBX1	P67809
SRSF9	Q13242
ATRNL1	Q5VV63
MC4R	P32245
ATF7IP	Q6VMQ6
MBD1	Q9UIS9
CHAF1A	Q13111
PIAS3	Q9Y6X2
PATZ1	Q9HBE1
ANP32A	P39687
MAP1B	P46821
MCM7	P33993
ORC3	Q9UBD5
FHL2	Q14192
NOV	P48745
POLR2L	P62875
KMT2A	Q03164
PPIE	Q9UNP9
PPP1R15A	O75807
RAP1GAP	P47736
PFN1	P07737
NEB	P20929
NGFR	P08138
PRKACB	P22694
LSM7	Q9UK45
NPY1R	P25929
SNCAIP	Q9Y6H5
SNCA	P37840
EPB41L1	Q9H4G0
MAP3K8	P41279
RELA	Q04206
FOS	P01100
RNF25	Q96BH1
PPP1R13L	Q8WUF5
FEN1	P39748
NOP2	P46087
MCRS1	Q96EZ8
ETS1	P14921
PLXNA1	Q9UIW2
AKT1	P31749
AKT2	P31751
APPL1	Q9UKG1
ETS2	P15036
CDK10	Q15131
SHANK2	Q9UPX8
CTTN	Q14247
WIPF1	O43516
SNW1	Q13573
SKI	P12755
NRAS	P01111
RAP1GDS1	P52306
GLMN	Q92990
MET	P08581
